,True,LSTM_prediction,Loss_LSTM
460,0.9459,0.956465,
461,0.9469,0.9603164,
462,0.9401,0.9614705,
463,0.9345,0.9579475,
464,0.9419,0.9538399,
465,0.9440000000000001,0.95377016,
466,0.9462,0.95966244,
467,0.9455,0.959962,
468,0.9441,0.9586859,
469,0.9454,0.9610894,
470,0.9472,0.9603648,
471,0.9458,0.9612769,
472,0.9442,0.9627012,
473,0.9421,0.9597894,
474,0.9457,0.9579536,
475,0.9472,0.96003985,
476,0.9445,0.9616431,
477,0.9468,0.9602157,
478,0.9517,0.9603033,
479,0.9513,0.9636458,
480,0.9538,0.964743,
481,0.9548,0.96598995,
482,0.9505,0.9680637,
483,0.9512,0.9659388,
484,0.9481,0.96528614,
485,0.9472,0.96425116,
486,0.9434,0.9638243,
487,0.9494,0.9605385,
488,0.9509,0.9607879,
489,0.9515,0.9648372,
490,0.9490000000000001,0.9659784,
491,0.95,0.96475637,
492,0.9556,0.9644669,
493,0.9533,0.96547365,
494,0.9558,0.9678365,
495,0.9590000000000001,0.96814644,
496,0.9582,0.96993816,
497,0.9574,0.97055626,
498,0.9568,0.9706522,
499,0.9522,0.97039676,
500,0.9535,0.96797097,
501,0.9468,0.9663527,
502,0.9464,0.9631467,
503,0.9482,0.9615555,
504,0.9495,0.96257305,
505,0.9446,0.96349263,
506,0.9427,0.9621533,
507,0.9432,0.9601575,
508,0.943,0.95961094,
509,0.9411,0.9590546,
510,0.9451,0.9561186,
511,0.9422,0.9582535,
512,0.9415,0.95977783,
513,0.9396,0.958109,
514,0.9362,0.95711637,
515,0.9351,0.95503354,
516,0.9311,0.95408607,
517,0.9282,0.95137596,
518,0.9251,0.9485272,
519,0.9279,0.9462657,
520,0.9231,0.94908917,
521,0.9246,0.9453788,
522,0.9294,0.94369245,
523,0.9314,0.9465598,
524,0.9348,0.9491453,
525,0.9353,0.9510156,
526,0.9335,0.95369184,
527,0.9376,0.95260656,
528,0.9379,0.95367086,
529,0.9369,0.9556545,
530,0.9353,0.95534194,
531,0.9327,0.953933,
532,0.9294,0.95289195,
533,0.9239,0.9499965,
534,0.9249,0.94657207,
535,0.9247,0.9444041,
536,0.9219,0.9449649,
537,0.9219,0.9423858,
538,0.9194,0.9423305,
539,0.9201,0.94197154,
540,0.9145,0.9406824,
541,0.9134,0.93902504,
542,0.9158,0.9366946,
543,0.9179,0.9365003,
544,0.9166,0.94007504,
545,0.917,0.9403422,
546,0.9179,0.94020295,
547,0.92,0.9403262,
548,0.9148,0.9401928,
549,0.9169,0.9384167,
550,0.9189,0.9392433,
551,0.9127,0.93999994,
552,0.9134,0.93779695,
553,0.9098,0.93668056,
554,0.9107,0.93474114,
555,0.9112,0.93416226,
556,0.9149,0.93494165,
557,0.9189,0.93625104,
558,0.9177,0.9387517,
559,0.9152,0.93987143,
560,0.9217,0.93903863,
561,0.92,0.9402267,
562,0.9231,0.9429064,
563,0.9203,0.9422829,
