Date,Close,Predictions
2013-10-15,157.05,155.6294
2013-10-16,157.49,155.62329
2013-10-17,158.26,155.67078
2013-10-18,158.05,155.79648
2013-10-21,158.47,155.95001
2013-10-22,159.27,156.1372
2013-10-23,157.39,156.38272
2013-10-24,157.58,156.53107
2013-10-25,157.41,156.61977
2013-10-28,157.61,156.65256
2013-10-29,157.52,156.65979
2013-10-30,158.04,156.64465
2013-10-31,157.73,156.64925
2013-11-01,157.16,156.64703
2013-11-04,157.44,156.60568
2013-11-05,158.01,156.55984
2013-11-06,158.65,156.54959
2013-11-07,157.68,156.60286
2013-11-08,158.62,156.6328
2013-11-11,158.52,156.70532
2013-11-12,158.41,156.79315
2013-11-13,159.19,156.8783
2013-11-14,160.65,157.00479
2013-11-15,161.47,157.24033
2013-11-18,161.05,157.58127
2013-11-19,161.33,157.94107
2013-11-20,161.02,158.30695
2013-11-21,163.79,158.63214
2013-11-22,164.25,159.08382
2013-11-25,164.22,159.61409
2013-11-26,164.18,160.15866
2013-11-27,166.33,160.67398
2013-11-29,167.61,161.27226
2013-12-02,168.32,161.96393
2013-12-03,167.96,162.71498
2013-12-04,167.63,163.43158
2013-12-05,166.19,164.05779
2013-12-06,168.11,164.49223
2013-12-09,169.6,164.89842
2013-12-10,169.05,165.35309
2013-12-11,167.63,165.77399
2013-12-12,168.97,166.05644
2013-12-13,168.14,166.31905
2013-12-16,167.87,166.49709
2013-12-17,166.93,166.59375
2013-12-18,171.0,166.57231
2013-12-19,170.68,166.73929
2013-12-20,169.92,166.99239
2013-12-23,170.2,167.23781
2013-12-24,170.79,167.48112
2013-12-26,171.97,167.74406
2013-12-27,173.21,168.07733
2013-12-30,173.42,168.51253
2013-12-31,174.59,168.99695
2014-01-02,172.31,169.55649
2014-01-03,172.03,169.97794
2014-01-06,170.93,170.26694
2014-01-07,171.49,170.37953
2014-01-08,172.48,170.40887
2014-01-09,172.71,170.44661
2014-01-10,171.57,170.50227
2014-01-13,168.83,170.49333
2014-01-14,171.29,170.26863
2014-01-15,171.15,170.08304
2014-01-16,170.56,169.92249
2014-01-17,171.25,169.75241
2014-01-21,171.83,169.63364
2014-01-22,173.18,169.59254
2014-01-23,171.88,169.69098
2014-01-24,168.63,169.78702
2014-01-27,170.03,169.66664
2014-01-28,170.66,169.5085
2014-01-29,169.31,169.37398
2014-01-30,169.36,169.17624
2014-01-31,167.78,168.95671
2014-02-03,164.59,168.63586
2014-02-04,165.86,168.06831
2014-02-05,165.49,167.46553
2014-02-06,166.65,166.85457
2014-02-07,167.85,166.35506
2014-02-10,167.68,166.0368
2014-02-11,168.82,165.84492
2014-02-12,170.12,165.82045
2014-02-13,170.1,165.98651
2014-02-14,170.49,166.26062
2014-02-18,170.73,166.61
2014-02-19,170.67,166.99792
2014-02-20,170.26,167.37926
2014-02-21,170.36,167.70343
2014-02-24,170.63,167.97516
2014-02-25,170.43,168.21175
2014-02-26,170.63,168.3968
2014-02-27,170.36,168.54991
2014-02-28,170.46,168.65503
2014-03-03,169.03,168.72969
2014-03-04,170.33,168.68796
2014-03-05,171.02,168.66023
2014-03-06,172.5,168.68645
2014-03-07,172.61,168.84135
2014-03-10,171.85,169.07498
2014-03-11,171.12,169.29514
2014-03-12,170.73,169.44542
2014-03-13,169.16,169.51558
2014-03-14,168.71,169.42802
2014-03-17,169.15,169.21776
2014-03-18,168.22,168.97148
2014-03-19,169.2,168.65872
2014-03-20,168.92,168.38951
2014-03-21,168.62,168.14769
2014-03-24,168.62,167.92162
2014-03-25,168.99,167.72136
2014-03-26,169.11,167.5747
2014-03-27,169.7,167.47939
2014-03-28,171.09,167.46106
2014-03-31,171.97,167.58183
2014-04-01,172.37,167.83888
2014-04-02,172.68,168.19116
2014-04-03,172.44,168.60027
2014-04-04,171.04,169.00189
2014-04-07,171.19,169.28079
2014-04-08,170.4,169.47252
2014-04-09,171.21,169.54327
2014-04-10,170.37,169.58499
2014-04-11,170.01,169.55042
2014-04-14,170.34,169.448
2014-04-15,170.45,169.33119
2014-04-16,171.7,169.2203
2014-04-17,171.95,169.20203
2014-04-21,172.23,169.25981
2014-04-22,172.55,169.38123
2014-04-23,172.01,169.5558
